"flu.loc","Freq"
"alabama",9
"alaska",2
"arizona",15
"arkansas",7
"california",117
"colorado",20
"connecticut",7
"delaware",6
"district of columbia",6
"florida",200
"georgia",35
"hawaii",1
"idaho",6
"illinois",24
"indiana",7
"iowa",12
"kansas",6
"kentucky",9
"louisiana",13
"maine",4
"maryland",25
"massachusetts",25
"massachusetts:main",7
"michigan",37
"michigan:south",2
"minnesota",17
"mississippi",3
"missouri",14
"montana",4
"nebraska",6
"nevada",9
"new hampshire",4
"new jersey",21
"new mexico",6
"new york",57
"new york:long island",5
"new york:main",6
"new york:manhattan",5
"north carolina",22
"north carolina:main",1
"north dakota",4
"ohio",28
"oklahoma",10
"oregon",12
"pennsylvania",26
"rhode island",6
"south carolina",11
"south dakota",1
"tennessee",21
"texas",74
"utah",7
"vermont",2
"virginia",25
"virginia:main",3
"washington",30
"washington:main",5
"west virginia",4
"wisconsin",16
"wyoming",1
